HREF,linkText,About,Contact,Team,Investor,Product,Career,News,ECommerce,Resources,Pricing,Social,Portal,Legal,Copyright,Blog,Exclude
https://www.adecco.co.uk/#mainContent,"
                Skip to main content
            ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/,Are you a candidate?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/employers/,Are you an employer?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/recruitment-jobs-with-adecco/,Work for Adecco,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/labour-market-outlook/,Labour Market Outlook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://connect.adecco.co.uk/s/connecting?brand=ags,Register,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
https://connect.adecco.co.uk/s/login/?login=1,Log in,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
javascript:void(0),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript:void(0);,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript:void(0);,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript:void(0);,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/,"
       

        

    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/job-results/,View All Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/,Featured Employers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/candidate-blog/,Resources,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
https://www.adecco.co.uk/faqs/,FAQs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
https://www.adecco.co.uk/contact-us/,Contact Us,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/#,"
        
    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/#,"
        
    ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript:void(0),Search jobs ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
javascript:void(0),Search jobs ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/encirc-jobs/,"
                        
                            
                        
                    ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/schneider-electric-jobs,"
                        
                            
                        
                    ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/cazoo-customer-service-and-delivery-jobs/,"
                        
                            
                        
                    ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/amazon-jobs/,"
                        
                            
                        
                    ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/serco/,"
                        
                            
                        
                    ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/cambridge-assessment,"
                        
                            
                        
                    ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/uber-driving-jobs/,"
                        
                            
                        
                    ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
https://www.adecco.co.uk/featured-employers/walkers/,"
                        
                            
                        
                    ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
